time,gFx,gFy,gFz,TgF
2.106000,-0.0245,-0.0200,1.1043,1.105
2.107000,-0.0225,-0.0220,1.0984,1.099
2.143000,-0.0206,-0.0181,1.0965,1.097
2.144000,-0.0206,-0.0161,1.0965,1.097
2.145000,-0.0245,-0.0181,1.0965,1.097
2.145000,-0.0167,-0.0142,1.0906,1.091
2.146000,-0.0108,-0.0142,1.1062,1.106
2.147000,-0.0089,-0.0103,1.1043,1.104
2.148000,-0.0186,-0.0161,1.1004,1.101
2.148000,-0.0089,-0.0142,1.0984,1.099
2.151000,-0.0128,-0.0142,1.0926,1.093
2.156000,-0.0108,-0.0142,1.0828,1.083
2.164000,0.0009,-0.0239,1.1062,1.107
2.166000,-0.0030,-0.0181,1.0984,1.099
2.171000,-0.0069,-0.0181,1.1043,1.104
2.175000,-0.0128,-0.0142,1.0984,1.099
2.181000,-0.0167,-0.0239,1.1102,1.111
2.185000,-0.0167,-0.0181,1.1004,1.101
2.190000,-0.0167,-0.0181,1.0965,1.097
2.203000,-0.0049,-0.0161,1.0965,1.097
2.204000,-0.0128,-0.0161,1.0887,1.089
2.205000,-0.0186,-0.0239,1.0945,1.095
2.210000,-0.0186,-0.0220,1.1043,1.105
2.232000,-0.0147,-0.0161,1.0926,1.093
2.233000,-0.0147,-0.0181,1.0984,1.099
2.234000,-0.0147,-0.0181,1.1043,1.105
2.234000,-0.0206,-0.0220,1.1043,1.105
2.235000,-0.0186,-0.0239,1.1004,1.101
2.239000,-0.0206,-0.0200,1.0965,1.097
2.244000,-0.0225,-0.0220,1.1023,1.103
2.249000,-0.0147,-0.0181,1.0945,1.095
2.254000,-0.0167,-0.0200,1.1004,1.101
2.259000,-0.0147,-0.0161,1.0965,1.097
2.265000,-0.0069,-0.0142,1.0906,1.091
2.269000,-0.0128,-0.0161,1.0945,1.095
2.275000,-0.0225,-0.0220,1.0984,1.099
2.280000,-0.0128,-0.0220,1.0906,1.091
2.284000,-0.0128,-0.0181,1.0984,1.099
2.288000,-0.0186,-0.0239,1.1121,1.113
2.294000,-0.0049,-0.0220,1.1062,1.106
2.300000,-0.0108,-0.0181,1.1102,1.110
2.303000,-0.0089,-0.0161,1.1102,1.110
2.308000,-0.0167,-0.0181,1.1004,1.101
2.324000,-0.0128,-0.0103,1.1004,1.101
2.326000,-0.0225,-0.0161,1.1062,1.107
2.326000,-0.0343,-0.0161,1.1043,1.105
2.331000,-0.0284,-0.0142,1.1004,1.101
2.353000,-0.0265,-0.0181,1.1141,1.115
2.355000,-0.0225,-0.0142,1.1004,1.101
2.355000,-0.0265,-0.0142,1.1004,1.101
2.356000,-0.0284,-0.0161,1.1121,1.113
2.356000,-0.0245,-0.0142,1.1141,1.114
2.358000,-0.0167,-0.0220,1.1121,1.112
2.364000,-0.0245,-0.0161,1.1082,1.109
2.368000,-0.0206,-0.0161,1.0945,1.095
2.372000,-0.0108,-0.0161,1.1004,1.101
2.377000,-0.0089,-0.0181,1.0965,1.097
2.382000,-0.0089,-0.0200,1.1004,1.101
2.387000,-0.0089,-0.0181,1.1082,1.108
2.392000,-0.0147,-0.0161,1.1023,1.103
