,index,shunt,shunt_v,source,source_v,bias,millisecs,current_a,power_w,secs
81,81,448,0.314941,1692,1.226074,18,840019,0.08998314285714286,0.11032599189542858,840.019
82,82,461,0.324463,1689,1.223877,18,850019,0.09270371428571429,0.11345794372885716,850.019
83,83,426,0.298828,1693,1.226807,18,860019,0.08537942857142856,0.10474408062742856,860.019
84,84,444,0.312012,1688,1.223145,18,870020,0.08914628571428572,0.10903883364,870.02
85,85,434,0.304688,1694,1.227539,18,880020,0.08705371428571429,0.10686182938057143,880.02
86,86,494,0.348633,1686,1.22168,18,890020,0.09960942857142858,0.12169084669714289,890.02
87,87,507,0.358887,1685,1.22168,17,900020,0.10253914285714286,0.1252700200457143,900.02
88,88,506,0.357422,1685,1.220947,18,910020,0.10212057142857144,0.124683805324,910.02
89,89,511,0.361084,1691,1.225342,18,920021,0.10316685714285714,0.12641468306514286,920.021
90,90,510,0.360352,1686,1.22168,18,930021,0.10295771428571429,0.12578138038857145,930.021
91,91,511,0.361084,1685,1.220947,18,940021,0.10316685714285714,0.125961264728,940.021
92,92,513,0.362549,1685,1.220947,18,950021,0.10358542857142858,0.126472318258,950.021
93,93,497,0.351562,1685,1.22168,17,960021,0.10044628571428571,0.12271321833142858,960.021
94,94,490,0.345703,1686,1.22168,18,970022,0.09877228571428572,0.12066812601142858,970.022
95,95,511,0.361084,1684,1.220215,18,980022,0.10316685714285714,0.12588574658857143,980.022
96,96,511,0.361084,1685,1.220947,18,990022,0.10316685714285714,0.125961264728,990.022
97,97,493,0.3479,1686,1.22168,18,1000022,0.0994,0.12143499200000002,1000.022
98,98,492,0.346436,1684,1.219482,19,1010022,0.0989817142857143,0.12070641890057143,1010.022
99,99,480,0.338379,1688,1.223145,18,1020022,0.09667971428571429,0.11825330913,1020.022
100,100,472,0.33252,1639,1.187256,18,1030023,0.09500571428571428,0.11279610431999999,1030.023
101,101,476,0.335449,1641,1.188721,18,1040023,0.09584257142857143,0.11393007735114286,1040.023
102,102,482,0.339111,1646,1.19165,19,1050023,0.09688885714285714,0.11545760661428572,1050.023
103,103,494,0.348633,1660,1.202637,18,1060023,0.09960942857142858,0.11979398434885716,1060.023
104,104,490,0.345703,1681,1.218018,18,1070023,0.09877228571428572,0.12030642190114287,1070.023
